"Story","Title","Result","Date","Stability","Duration (s)"
"creación de categoría y post","crear categoría","SUCCESS","2021-01-08T09:27:51.397-05:00[America/Bogota]","0.0","27.86"
"creación de categoría y post","crear post","SUCCESS","2021-01-08T09:28:19.259-05:00[America/Bogota]","0.0","25.67"
